user_id,gender,age,following_cnt,pay_count,parcel_post_count,transfer_count,chat_count,count,content_id
1310312,1,24,3,4,0,0,0,5,152627867
1310312,1,24,3,4,0,0,0,5,152627867
1310312,1,24,3,4,0,0,0,5,139123532
1310312,1,24,3,4,0,0,0,5,152627867
1310312,1,24,3,4,0,0,0,5,162523203
76429349,1,31,0,0,0,0,0,1,163150354
74800572,2,16,17,0,0,0,0,1,161593862
4454345,2,21,27,0,10,0,0,3,162524627
4454345,2,21,27,0,10,0,0,3,137073840
4454345,2,21,27,0,10,0,0,3,162523976
12770626,1,43,2,1,1,0,0,5,133231825
12770626,1,43,2,1,1,0,0,5,133231825
12770626,1,43,2,1,1,0,0,5,161162684
12770626,1,43,2,1,1,0,0,5,158373558
12770626,1,43,2,1,1,0,0,5,130598478
77181110,1,32,0,0,0,0,0,5,124045187
77181110,1,32,0,0,0,0,0,5,162557191
77181110,1,32,0,0,0,0,0,5,162557969
77181110,1,32,0,0,0,0,0,5,162714883
77181110,1,32,0,0,0,0,0,5,162557191
5986785,1,42,0,3,0,0,6,1,151033260
74874915,1,48,2,2,0,0,0,1,160207362
4545079,2,55,2,0,0,0,0,2,162853021
4545079,2,55,2,0,0,0,0,2,156133934
8971470,0,0,1,0,0,0,0,5,162188121
8971470,0,0,1,0,0,0,0,5,149152509
8971470,0,0,1,0,0,0,0,5,162188354
8971470,0,0,1,0,0,0,0,5,162521007
8971470,0,0,1,0,0,0,0,5,152714003
11836015,0,0,0,0,0,0,0,3,152627715
11836015,0,0,0,0,0,0,0,3,149152509
11836015,0,0,0,0,0,0,0,3,162188354
70657,2,50,181,0,0,0,0,1,72580333
98841,1,28,0,0,0,0,0,1,132419409
65251,1,42,318,0,0,0,0,1,159897047
75851474,2,58,3,0,0,0,0,2,162722656
75851474,2,58,3,0,0,0,0,2,162721784
9358934,2,50,0,1,0,0,1,9,159370369
9358934,2,50,0,1,0,0,1,9,155702256
9358934,2,50,0,1,0,0,1,9,155702256
9358934,2,50,0,1,0,0,1,9,106346242
9358934,2,50,0,1,0,0,1,9,155702256
9358934,2,50,0,1,0,0,1,9,154355380
9358934,2,50,0,1,0,0,1,9,154355380
9358934,2,50,0,1,0,0,1,9,155484991
9358934,2,50,0,1,0,0,1,9,155702256
5127753,2,45,3,0,0,0,0,1,135051633
8440024,1,73,1,3,0,1,2,2,161783213
8440024,1,73,1,3,0,1,2,2,156133934
11250811,1,32,0,0,0,0,0,1,158599842
5378562,1,44,3,0,0,0,1,3,140116266
5378562,1,44,3,0,0,0,1,3,153730697
5378562,1,44,3,0,0,0,1,3,104223605
5091520,1,30,0,0,0,0,1,3,162520302
5091520,1,30,0,0,0,0,1,3,162949920
5091520,1,30,0,0,0,0,1,3,137118749
221293,2,26,7,0,0,0,0,1,163136326
77328775,2,35,0,0,0,0,0,3,126719000
77328775,2,35,0,0,0,0,0,3,126719000
77328775,2,35,0,0,0,0,0,3,126719000
8813718,2,42,10,11,11,0,6,3,162834943
8813718,2,42,10,11,11,0,6,3,162834943
8813718,2,42,10,11,11,0,6,3,162834943
75581435,1,52,0,0,0,0,0,3,162194390
75581435,1,52,0,0,0,0,0,3,162188354
75581435,1,52,0,0,0,0,0,3,162188354
10560844,1,23,5,0,0,0,0,2,162188680
10560844,1,23,5,0,0,0,0,2,162188680
1023481,2,62,4,0,0,0,0,1,162700836
8181557,2,42,3,0,0,0,1,1,162194390
7234604,1,34,2,0,0,1,1,2,72580333
7234604,1,34,2,0,0,1,1,2,159810809
