product_id,title,keyword,cat1,cat2,cat3,view,image
173818546,아이패드프로 5세대 12.9인치(애플펜슬/매직키보드),"아이패드프로5세대12.9,애플펜슬2세대,매직키보드12.9",디지털/가전,모바일,태블릿,121,https://media.bunjang.co.kr/product/173818546_{cnt}_1640262860_w{res}.jpg
173984126,갤럭시탭 s7+ 키보드케이스,"탭s7+키보드케이,갤럭시탭키보드",디지털/가전,모바일,태블릿,37,https://media.bunjang.co.kr/product/173984126_{cnt}_1640270152_w{res}.jpg
173768102,갤럭시탭 s7 256g wifi 정품키보드케이스 포함,,디지털/가전,모바일,태블릿,142,https://media.bunjang.co.kr/product/173768102_{cnt}_1640261039_w{res}.jpg
173979334,체리 기계식 적축 키보드+앱코 텐키,"체리,적축,기계식,텐키",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),128,https://media.bunjang.co.kr/product/173979334_{cnt}_1641257379_w{res}.jpg
172725780,오버워치 겐지 키보드(한정판),"오버워치,겐지,키보드,한정판,굿즈",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),218,https://media.bunjang.co.kr/product/172725780_{cnt}_1640258518_w{res}.jpg
171182398,키크론 K3A1 적축 기계식 키보드 블루투스 white LED,"키보드,키크론",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),372,https://media.bunjang.co.kr/product/171182398_{cnt}_1639748516_w{res}.jpg
173572463,커세어 K70 LUX 적축 (간이윤활),"키보드,커세어",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),51,https://media.bunjang.co.kr/product/173572463_{cnt}_1640253145_w{res}.jpg
163498557,아이패드 프로 4세대 11인치 wifi 리퍼 미사용 케이스 키보드,"아이패드,애플팬슬,애플팬슬2세대,아이패드프로,애플",남성의류,후드티/후드집업,0,1356,https://media.bunjang.co.kr/product/163498557_{cnt}_1640274011_w{res}.jpg
166090819,아이패드 7세대 키보드,,디지털/가전,모바일,케이스/보호필름/액세서리,147,https://media.bunjang.co.kr/product/166090819_{cnt}_1640102820_w{res}.jpg
173962972,갤럭시탭 s5e wifi 64 + 정품 키보드 북커버,,디지털/가전,모바일,태블릿,38,https://media.bunjang.co.kr/product/173962972_{cnt}_1640300947_w{res}.jpg
173408413,미개봉 헌츠맨 미니 리니어 광축 국내정발품 레이저 키보드,"레이저키보드,헌츠맨,Razer,Huntsman,적축",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),106,https://media.bunjang.co.kr/product/173408413_{cnt}_1640046859_w{res}.jpg
173959556,Apple 스마트 키보드 폴리오 11형 (4세대),"아이패드에어4,아이패드프로,스마트키보드폴리오11,스마트폴리오키보드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),125,https://media.bunjang.co.kr/product/173959556_{cnt}_1640611205_w{res}.jpg
173958972,"아이패드에어3 64GB 실버 (+로지텍키보드, 펜슬)","아이패드에어3,아이패드에어3세대,아이패드에어464",디지털/가전,모바일,태블릿,45,https://media.bunjang.co.kr/product/173958972_{cnt}_1640251241_w{res}.jpg
168111329,로지텍키보드,"로지텍키보드,K480,미사용,개봉",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),82,https://media.bunjang.co.kr/product/168111329_{cnt}_1635244220_w{res}.jpg
173034989,아이패드 프로 11 3세대 (+애플케어)아이펜슬 매직키보드 케이스,"아이패드프로11,매직키보드11,아이펜슬2세대,셀룰러",디지털/가전,모바일,태블릿,136,https://media.bunjang.co.kr/product/173034989_{cnt}_1640247663_w{res}.jpg
173678289,레이저 바실리스크 얼티메이트,"마우스,키보드,레이저,레이저마우스,무선마우스",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),271,https://media.bunjang.co.kr/product/173678289_{cnt}_1640005251_w{res}.jpg
173679010,레이저헌츠맨 엘리트 us,"레이저키보드,레이저,게이밍키보드,키보드,기계식키보드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),89,https://media.bunjang.co.kr/product/173679010_{cnt}_1640005576_w{res}.jpg
173956591,애플 매직 키보드 팔아요,"애플매직키보드,애플,키보드,매직키보드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),10,https://media.bunjang.co.kr/product/173956591_{cnt}_1640246741_w{res}.jpg
173925600,로지텍 g 610 키보드 4만원에 판매합니다,"로지텍,로지텍g610",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),15,https://media.bunjang.co.kr/product/173925600_{cnt}_1640227821_w{res}.jpg
173836912,"아이패드 에어 4세대,애플펜슬,로지텍 키보드 마우스","아이패드에어4,애플펜슬2세대,로지텍k380",디지털/가전,모바일,태블릿,37,https://media.bunjang.co.kr/product/173836912_{cnt}_1640252888_w{res}.jpg
166434905,(미개봉) MS 서피스 블루투스 무선 키보드,"마이크로소프트키보드,마이크로소프트블루투스키보드,키보드,블루투스,서피스",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),253,https://media.bunjang.co.kr/product/166434905_{cnt}_1640159830_w{res}.jpg
173377548,로지텍 G PRO X 키보드 판매합니다.,"키보드,로지텍,로지텍gpro,게이밍,게이밍키보드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),250,https://media.bunjang.co.kr/product/173377548_{cnt}_1640080663_w{res}.jpg
